year,country,counterpart_type,value,percent
2023-2025 (projected),Niger,Bilateral,51095780.333333336,14.7
2023-2025 (projected),Niger,Multilateral,244617482.76666665,70.5
2023-2025 (projected),Niger,Private,26052629.433333334,7.5
2023-2025 (projected),Niger,China,25382748.933333334,7.3
2010-2014,Nigeria,Bilateral,826684.4600000001,0.3
2010-2014,Nigeria,Multilateral,177576282.54000002,56.6
2010-2014,Nigeria,Private,39489200.0,12.6
2010-2014,Nigeria,China,95573805.0,30.5
2018-2022,Nigeria,Bilateral,60384455.32000001,3.0
2018-2022,Nigeria,Multilateral,447429713.02,22.5
2018-2022,Nigeria,Private,1282721725.48,64.4
2018-2022,Nigeria,China,200125544.72,10.1
2023-2025 (projected),Nigeria,Bilateral,138583221.53333333,3.5
2023-2025 (projected),Nigeria,Multilateral,1096879026.7666667,27.7
2023-2025 (projected),Nigeria,Private,2299283329.866667,58.0
2023-2025 (projected),Nigeria,China,429289902.93333334,10.8
2010-2014,North Macedonia,Bilateral,16902223.119999997,6.3
2010-2014,North Macedonia,Multilateral,129895966.25999999,48.3
2010-2014,North Macedonia,Private,110284129.06000002,41.0
2010-2014,North Macedonia,China,11739598.44,4.4
2018-2022,North Macedonia,Bilateral,20442715.54,3.5
2018-2022,North Macedonia,Multilateral,166403675.62,28.8
2018-2022,North Macedonia,Private,354599147.58000004,61.4
2018-2022,North Macedonia,China,35928600.0,6.2
2023-2025 (projected),North Macedonia,Bilateral,27108220.03333333,2.5
2023-2025 (projected),North Macedonia,Multilateral,298142436.1333334,27.6
2023-2025 (projected),North Macedonia,Private,686081866.3666667,63.6
2023-2025 (projected),North Macedonia,China,67959710.16666667,6.3
2010-2014,Pakistan,Bilateral,585114817.8,23.8
2010-2014,Pakistan,Multilateral,1382817710.8799999,56.3
2010-2014,Pakistan,Private,263864400.0,10.7
2010-2014,Pakistan,China,222993396.4,9.1
2018-2022,Pakistan,Bilateral,724010872.3,8.0
2018-2022,Pakistan,Multilateral,2341117074.32,25.9
2018-2022,Pakistan,Private,3313726452.22,36.6
2018-2022,Pakistan,China,2674778204.54,29.5
2023-2025 (projected),Pakistan,Bilateral,2520706014.0333333,21.3
2023-2025 (projected),Pakistan,Multilateral,3554110137.2333336,30.1
2023-2025 (projected),Pakistan,Private,1224388333.3333333,10.4
2023-2025 (projected),Pakistan,China,4510950943.033334,38.2
2010-2014,Papua New Guinea,Bilateral,28606219.74,30.5
2010-2014,Papua New Guinea,Multilateral,54090326.1,57.7
2010-2014,Papua New Guinea,Private,7670220.12,8.2
2010-2014,Papua New Guinea,China,3438603.975,3.7
2018-2022,Papua New Guinea,Bilateral,85349837.14000002,16.3
2018-2022,Papua New Guinea,Multilateral,119127285.02000001,22.8
2018-2022,Papua New Guinea,Private,273767347.34000003,52.4
2018-2022,Papua New Guinea,China,44663291.519999996,8.5
2023-2025 (projected),Papua New Guinea,Bilateral,165079099.33333334,25.3
2023-2025 (projected),Papua New Guinea,Multilateral,317543165.3,48.7
2023-2025 (projected),Papua New Guinea,Private,56138530.666666664,8.6
2023-2025 (projected),Papua New Guinea,China,113508280.03333335,17.4
2010-2014,Paraguay,Bilateral,67570314.26,23.2
2010-2014,Paraguay,Multilateral,179802546.62,61.9
2010-2014,Paraguay,Private,43276480.0,14.9
2018-2022,Paraguay,Bilateral,41998648.9,6.0
2018-2022,Paraguay,Multilateral,283778282.2,40.6
2018-2022,Paraguay,Private,373495600.0,53.4
2023-2025 (projected),Paraguay,Bilateral,31473005.966666665,2.4
2023-2025 (projected),Paraguay,Multilateral,904591216.9,67.6
2023-2025 (projected),Paraguay,Private,403059428.5333333,30.1
2010-2014,Peru,Bilateral,506969992.52,17.5
2010-2014,Peru,Multilateral,1351139861.2800002,46.6
2010-2014,Peru,Private,1037531466.22,35.8
2010-2014,Peru,China,1630000.0,0.1
2018-2022,Peru,Bilateral,134945174.23999998,7.1
2018-2022,Peru,Multilateral,650638511.54,34.0
2018-2022,Peru,Private,1126051885.8,58.9
2023-2025 (projected),Peru,Bilateral,149448739.36666667,4.8
2023-2025 (projected),Peru,Multilateral,1126237500.8666666,36.3
2023-2025 (projected),Peru,Private,1823714638.2,58.8
2010-2014,Philippines,Bilateral,1311991744.24,19.5
2010-2014,Philippines,Multilateral,932052879.14,13.9
2010-2014,Philippines,Private,4444187502.64,66.1
2010-2014,Philippines,China,34432636.86,0.5
2018-2022,Philippines,Bilateral,652281968.8399999,10.8
2018-2022,Philippines,Multilateral,1042444685.0599998,17.3
2018-2022,Philippines,Private,4297920459.58,71.3
2018-2022,Philippines,China,32104020.919999998,0.5
2023-2025 (projected),Philippines,Bilateral,557907751.6666666,9.3
2023-2025 (projected),Philippines,Multilateral,3052504124.566667,50.8
2023-2025 (projected),Philippines,Private,2235172632.9333334,37.2
2023-2025 (projected),Philippines,China,164529366.0,2.7
2010-2014,Rwanda,Bilateral,3856107.7600000002,9.5
2010-2014,Rwanda,Multilateral,15767007.2,38.7
2010-2014,Rwanda,Private,20175000.0,49.5
2010-2014,Rwanda,China,926014.9400000001,2.3
2018-2022,Rwanda,Bilateral,17690816.3,9.7
2018-2022,Rwanda,Multilateral,56090209.220000006,30.9
2018-2022,Rwanda,Private,96457200.0,53.1
2018-2022,Rwanda,China,11431489.86,6.3
2023-2025 (projected),Rwanda,Bilateral,31796529.53333333,11.3
2023-2025 (projected),Rwanda,Multilateral,160617789.79999998,56.8
2023-2025 (projected),Rwanda,Private,68013000.0,24.1
2023-2025 (projected),Rwanda,China,22126953.133333337,7.8
2010-2014,Samoa,Bilateral,137947.47999999998,1.0
2010-2014,Samoa,Multilateral,10021737.66,71.9
2010-2014,Samoa,China,3778685.54,27.1
2018-2022,Samoa,Bilateral,1787655.4249999998,7.1
2018-2022,Samoa,Multilateral,12846596.6,50.8
2018-2022,Samoa,China,10661123.02,42.1
2023-2025 (projected),Samoa,Bilateral,2041119.8666666665,6.2
2023-2025 (projected),Samoa,Multilateral,12050049.866666667,36.8
2023-2025 (projected),Samoa,China,18637810.433333334,56.9
2010-2014,Sao Tome and Principe,Bilateral,7974479.233333334,83.0
2010-2014,Sao Tome and Principe,Multilateral,1634411.8800000001,17.0
2018-2022,Sao Tome and Principe,Bilateral,1439294.9,29.7
2018-2022,Sao Tome and Principe,Multilateral,3410284.34,70.3
2023-2025 (projected),Sao Tome and Principe,Bilateral,7617045.333333333,50.8
2023-2025 (projected),Sao Tome and Principe,Multilateral,4955828.233333333,33.1
2023-2025 (projected),Sao Tome and Principe,Private,2418880.9666666663,16.1
2010-2014,Senegal,Bilateral,80160068.94,36.3
2010-2014,Senegal,Multilateral,76326478.5,34.6
2010-2014,Senegal,Private,42823733.839999996,19.4
2010-2014,Senegal,China,21297704.96,9.7
2018-2022,Senegal,Bilateral,159220268.48,17.1
2018-2022,Senegal,Multilateral,222961281.34,23.9
2018-2022,Senegal,Private,439592503.46000004,47.1
2018-2022,Senegal,China,110907748.72,11.9
2023-2025 (projected),Senegal,Bilateral,284610089.29999995,16.8
2023-2025 (projected),Senegal,Multilateral,605806559.2333333,35.8
2023-2025 (projected),Senegal,Private,598341156.3333334,35.4
2023-2025 (projected),Senegal,China,201997843.4,11.9
2010-2014,Serbia,Bilateral,234092719.08,20.1
2010-2014,Serbia,Multilateral,457606652.66,39.3
2010-2014,Serbia,Private,449253667.53999996,38.5
2010-2014,Serbia,China,24713544.919999998,2.1
2018-2022,Serbia,Bilateral,537098894.28,21.3
2018-2022,Serbia,Multilateral,695202606.28,27.5
2018-2022,Serbia,Private,1173256632.9199998,46.4
2018-2022,Serbia,China,121338244.34,4.8
2023-2025 (projected),Serbia,Bilateral,715434336.6,36.1
2023-2025 (projected),Serbia,Multilateral,780476394.9333334,39.4
2023-2025 (projected),Serbia,Private,309316432.93333334,15.6
2023-2025 (projected),Serbia,China,175464459.9,8.9
2010-2014,Sierra Leone,Bilateral,2861063.96,19.2
2010-2014,Sierra Leone,Multilateral,10905579.8,73.0
2010-2014,Sierra Leone,China,1166792.56,7.8
2018-2022,Sierra Leone,Bilateral,8909764.0,17.2
2018-2022,Sierra Leone,Multilateral,32991926.98,63.9
2018-2022,Sierra Leone,Private,7127500.0,13.8
2018-2022,Sierra Leone,China,2641686.52,5.1
2023-2025 (projected),Sierra Leone,Bilateral,16159574.066666665,22.0
2023-2025 (projected),Sierra Leone,Multilateral,50119068.46666667,68.2
2023-2025 (projected),Sierra Leone,China,7172019.5,9.8
2010-2014,Solomon Islands,Bilateral,2256320.3,26.5
2010-2014,Solomon Islands,Multilateral,6140269.8,72.1
2010-2014,Solomon Islands,Private,124425.70000000001,1.5
2018-2022,Solomon Islands,Bilateral,1393283.3599999999,22.4
2018-2022,Solomon Islands,Multilateral,4813402.9399999995,77.6
2023-2025 (projected),Solomon Islands,Bilateral,1421077.3333333333,18.1
2023-2025 (projected),Solomon Islands,Multilateral,6418800.7,81.9
2018-2022,Somalia,Multilateral,170958745.1,100.0
2023-2025 (projected),Somalia,Bilateral,39799148.43333333,72.4
2023-2025 (projected),Somalia,Multilateral,15157111.200000001,27.6
2010-2014,South Africa,Bilateral,6070451.24,0.1
2010-2014,South Africa,Multilateral,97435180.4,1.9
2010-2014,South Africa,Private,5066821226.5,98.0
2018-2022,South Africa,Bilateral,61951244.779999994,0.5
2018-2022,South Africa,Multilateral,637758381.14,5.4
2018-2022,South Africa,Private,11050990463.36,93.3
2018-2022,South Africa,China,91087750.0,0.8
2023-2025 (projected),South Africa,Bilateral,68839660.0,0.8
2023-2025 (projected),South Africa,Multilateral,704413696.6666666,8.3
2023-2025 (projected),South Africa,Private,7391396069.0,86.8
2023-2025 (projected),South Africa,China,352412698.40000004,4.1
2010-2014,Sri Lanka,Bilateral,453407958.82,26.1
2010-2014,Sri Lanka,Multilateral,282223935.65999997,16.3
2010-2014,Sri Lanka,Private,839200545.6,48.4
2010-2014,Sri Lanka,China,160641170.14000002,9.3
2018-2022,Sri Lanka,Bilateral,464690825.46000004,11.7
2018-2022,Sri Lanka,Multilateral,573877263.02,14.4
2018-2022,Sri Lanka,Private,2361269283.62,59.3
2018-2022,Sri Lanka,China,583394883.28,14.6
2023-2025 (projected),Sri Lanka,Bilateral,991882462.8333334,15.6
2023-2025 (projected),Sri Lanka,Multilateral,1028121080.0666666,16.2
2023-2025 (projected),Sri Lanka,Private,2514254376.7333336,39.6
2023-2025 (projected),Sri Lanka,China,1812111360.0333335,28.6
2010-2014,St. Lucia,Bilateral,3216816.46,8.1
2010-2014,St. Lucia,Multilateral,21257919.06,53.8
2010-2014,St. Lucia,Private,15069449.959999999,38.1
2018-2022,St. Lucia,Bilateral,5528992.5600000005,12.3
2018-2022,St. Lucia,Multilateral,20891728.919999998,46.5
2018-2022,St. Lucia,Private,18512785.18,41.2
2023-2025 (projected),St. Lucia,Bilateral,13856478.866666665,33.2
2023-2025 (projected),St. Lucia,Multilateral,27651190.099999998,66.3
2023-2025 (projected),St. Lucia,Private,218518.5,0.5
2010-2014,St. Vincent and the Grenadines,Bilateral,2937582.44,8.6
2010-2014,St. Vincent and the Grenadines,Multilateral,17877869.919999998,52.1
2010-2014,St. Vincent and the Grenadines,Private,13092331.5,38.1
2010-2014,St. Vincent and the Grenadines,China,411850.5,1.2
2018-2022,St. Vincent and the Grenadines,Bilateral,4545139.6,13.3
2018-2022,St. Vincent and the Grenadines,Multilateral,25522278.14,75.0
2018-2022,St. Vincent and the Grenadines,Private,3978659.2,11.7
2023-2025 (projected),St. Vincent and the Grenadines,Bilateral,8388449.233333333,18.1
2023-2025 (projected),St. Vincent and the Grenadines,Multilateral,36473125.666666664,78.6
2023-2025 (projected),St. Vincent and the Grenadines,Private,1513392.7333333334,3.3
2010-2014,Sudan,Bilateral,71109886.72,18.8
2010-2014,Sudan,Multilateral,109216651.88,28.8
2010-2014,Sudan,China,198373952.22,52.4
2018-2022,Sudan,Bilateral,28154820.24,5.9
2018-2022,Sudan,Multilateral,357364450.18,74.9
2018-2022,Sudan,China,91571002.0,19.2
2023-2025 (projected),Sudan,Bilateral,135298960.13333333,29.7
2023-2025 (projected),Sudan,Multilateral,274513847.6666667,60.2
2023-2025 (projected),Sudan,China,45843100.43333334,10.1
2018-2022,Suriname,Bilateral,5358878.075,3.9
2018-2022,Suriname,Multilateral,70725386.42,51.3
2018-2022,Suriname,Private,44429820.375,32.2
2018-2022,Suriname,China,17376626.419999998,12.6
2023-2025 (projected),Suriname,Bilateral,22027532.166666668,7.4
2023-2025 (projected),Suriname,Multilateral,117455469.06666666,39.2
2023-2025 (projected),Suriname,Private,87644622.0,29.3
2023-2025 (projected),Suriname,China,72183882.56666668,24.1
2010-2014,Syria,Bilateral,406935345.70000005,65.7
2010-2014,Syria,Multilateral,207276875.1,33.5
2010-2014,Syria,Private,2648715.5,0.4
2010-2014,Syria,China,2528843.1,0.4
2018-2022,Syria,Bilateral,13067555.4,69.2
2018-2022,Syria,Multilateral,5043365.4,26.7
2018-2022,Syria,Private,776540.7000000001,4.1
2023-2025 (projected),Syria,Bilateral,33136752.566666666,42.5
2023-2025 (projected),Syria,Multilateral,44000319.06666667,56.4
2023-2025 (projected),Syria,Private,863412.7000000001,1.1
2010-2014,Tajikistan,Bilateral,18118089.1,18.6
2010-2014,Tajikistan,Multilateral,41969708.279999994,43.0
2010-2014,Tajikistan,Private,387279.14,0.4
2010-2014,Tajikistan,China,37161941.46,38.1
2018-2022,Tajikistan,Bilateral,11926725.120000001,5.6
2018-2022,Tajikistan,Multilateral,82429703.86,39.0
2018-2022,Tajikistan,Private,35544604.5,16.8
2018-2022,Tajikistan,China,81443853.53999999,38.5
2023-2025 (projected),Tajikistan,Bilateral,16336908.233333334,4.3
2023-2025 (projected),Tajikistan,Multilateral,158221402.20000002,41.8
2023-2025 (projected),Tajikistan,Private,90221886.89999999,23.8
2023-2025 (projected),Tajikistan,China,114172421.43333334,30.1
2010-2014,Tanzania,Bilateral,10419954.16,7.9
2010-2014,Tanzania,Multilateral,63836239.45999999,48.6
2010-2014,Tanzania,Private,46957239.08,35.7
2010-2014,Tanzania,China,10269032.940000001,7.8
2018-2022,Tanzania,Bilateral,98826533.25999999,7.8
2018-2022,Tanzania,Multilateral,232642082.92,18.3
2018-2022,Tanzania,Private,668630705.04,52.7
2018-2022,Tanzania,China,268480617.6,21.2
2023-2025 (projected),Tanzania,Bilateral,180667051.9333333,10.9
2023-2025 (projected),Tanzania,Multilateral,562325438.6,33.9
2023-2025 (projected),Tanzania,Private,644256752.2333333,38.9
2023-2025 (projected),Tanzania,China,270747629.96666664,16.3
2010-2014,Thailand,Bilateral,690388804.22,43.4
2010-2014,Thailand,Multilateral,43542789.4,2.7
2010-2014,Thailand,Private,856522274.64,53.9
2018-2022,Thailand,Bilateral,547259384.9399999,19.9
2018-2022,Thailand,Multilateral,134097000.0,4.9
2018-2022,Thailand,Private,2063638047.56,75.2
2023-2025 (projected),Thailand,Bilateral,250097403.0,8.8
2023-2025 (projected),Thailand,Multilateral,582779809.5,20.5
2023-2025 (projected),Thailand,Private,2015810666.6666667,70.8
2010-2014,Timor-Leste,Multilateral,111500.0,100.0
2018-2022,Timor-Leste,Bilateral,180036.4,2.1
2018-2022,Timor-Leste,Multilateral,8401600.0,97.9
2023-2025 (projected),Timor-Leste,Bilateral,3008460.8000000003,9.0
2023-2025 (projected),Timor-Leste,Multilateral,30498316.5,91.0
2010-2014,Togo,Bilateral,8746055.799999999,21.2
2010-2014,Togo,Multilateral,18058772.919999998,43.8
2010-2014,Togo,Private,11956598.25,29.0
2010-2014,Togo,China,2421718.4,5.9
2018-2022,Togo,Bilateral,9727723.36,9.0
2018-2022,Togo,Multilateral,49171322.06,45.6
2018-2022,Togo,Private,17743728.64,16.5
2018-2022,Togo,China,31091634.24,28.9
2023-2025 (projected),Togo,Bilateral,26930295.399999995,12.0
2023-2025 (projected),Togo,Multilateral,100257473.93333332,44.6
2023-2025 (projected),Togo,Private,34704306.9,15.4
2023-2025 (projected),Togo,China,62972254.0,28.0
2010-2014,Tonga,Multilateral,3186776.2800000003,52.2
2010-2014,Tonga,Private,264422.92000000004,4.3
2010-2014,Tonga,China,2650239.08,43.4
2018-2022,Tonga,Multilateral,3398604.4,46.6
2018-2022,Tonga,China,3895646.1799999997,53.4
2023-2025 (projected),Tonga,Multilateral,3855149.0,18.2
2023-2025 (projected),Tonga,China,17362397.866666663,81.8
2010-2014,Tunisia,Bilateral,361239367.58,17.9
2010-2014,Tunisia,Multilateral,890403177.3399999,44.2
2010-2014,Tunisia,Private,754238947.48,37.4
2010-2014,Tunisia,China,9041986.98,0.4
2018-2022,Tunisia,Bilateral,535320630.32,20.4
2018-2022,Tunisia,Multilateral,1082237617.92,41.2
2018-2022,Tunisia,Private,997630616.9399999,38.0
2018-2022,Tunisia,China,8622610.14,0.3
2023-2025 (projected),Tunisia,Bilateral,876317734.0666666,25.2
2023-2025 (projected),Tunisia,Multilateral,1330274603.9666667,38.3
2023-2025 (projected),Tunisia,Private,1259593404.2666667,36.2
2023-2025 (projected),Tunisia,China,8808058.433333334,0.3
2010-2014,Turkmenistan,Bilateral,90105689.28,16.2
2010-2014,Turkmenistan,Multilateral,13034332.42,2.3
2010-2014,Turkmenistan,Private,15606000.0,2.8
2010-2014,Turkmenistan,China,438733387.52,78.7
2018-2022,Turkmenistan,Bilateral,824725703.8399999,47.1
2018-2022,Turkmenistan,Multilateral,45821819.72,2.6
2018-2022,Turkmenistan,Private,116166495.82000001,6.6
2018-2022,Turkmenistan,China,764811158.86,43.7
2023-2025 (projected),Turkmenistan,Bilateral,593844767.6,62.5
2023-2025 (projected),Turkmenistan,Multilateral,164858910.86666667,17.4
2023-2025 (projected),Turkmenistan,Private,168759959.46666667,17.8
2023-2025 (projected),Turkmenistan,China,22389147.966666665,2.4
2010-2014,Türkiye,Bilateral,643279750.74,6.0
2010-2014,Türkiye,Multilateral,1757895520.6799998,16.3
2010-2014,Türkiye,Private,8356239132.7,77.6
2010-2014,Türkiye,China,16969951.619999997,0.2
2018-2022,Türkiye,Bilateral,1349129370.0800002,7.0
2018-2022,Türkiye,Multilateral,2856789067.5,14.9
2018-2022,Türkiye,Private,14606083080.76,76.2
2018-2022,Türkiye,China,363103729.76,1.9
2023-2025 (projected),Türkiye,Bilateral,1347673365.0,5.6
2023-2025 (projected),Türkiye,Multilateral,3601934777.5333333,14.9
2023-2025 (projected),Türkiye,Private,18735572805.600002,77.5
2023-2025 (projected),Türkiye,China,488315430.6666667,2.0
2010-2014,Uganda,Bilateral,11375146.9,15.6
2010-2014,Uganda,Multilateral,54582124.54,74.8
2010-2014,Uganda,Private,207582.0,0.3
2010-2014,Uganda,China,6832995.039999999,9.4
2018-2022,Uganda,Bilateral,53608857.92,12.0
2018-2022,Uganda,Multilateral,212099050.34,47.5
2018-2022,Uganda,Private,28507310.02,6.4
2018-2022,Uganda,China,152477988.54000002,34.1
2023-2025 (projected),Uganda,Bilateral,116458168.46666668,10.0
2023-2025 (projected),Uganda,Multilateral,600986858.6,51.7
2023-2025 (projected),Uganda,Private,88671107.3,7.6
2023-2025 (projected),Uganda,China,357281425.43333334,30.7
2010-2014,Uzbekistan,Bilateral,141998109.57999998,37.6
2010-2014,Uzbekistan,Multilateral,122126956.75999999,32.3
2010-2014,Uzbekistan,Private,70858298.28,18.7
2010-2014,Uzbekistan,China,43045996.54000001,11.4
2018-2022,Uzbekistan,Bilateral,129126579.42,14.7
2018-2022,Uzbekistan,Multilateral,400157271.4,45.7
2018-2022,Uzbekistan,Private,156078923.32,17.8
2018-2022,Uzbekistan,China,190533084.54000002,21.8
2023-2025 (projected),Uzbekistan,Bilateral,365077699.1666667,14.0
2023-2025 (projected),Uzbekistan,Multilateral,1355454836.0666666,52.1
2023-2025 (projected),Uzbekistan,Private,574185394.0666666,22.1
2023-2025 (projected),Uzbekistan,China,308188735.7,11.8
2010-2014,Vanuatu,Bilateral,410865.02,7.3
2010-2014,Vanuatu,Multilateral,3527053.1799999997,62.6
2010-2014,Vanuatu,China,1698919.1600000001,30.1
2018-2022,Vanuatu,Bilateral,444198.4,2.9
2018-2022,Vanuatu,Multilateral,4146200.0,26.9
2018-2022,Vanuatu,China,10802454.48,70.2
2023-2025 (projected),Vanuatu,Bilateral,1613065.5666666667,7.1
2023-2025 (projected),Vanuatu,Multilateral,5830811.3,25.7
2023-2025 (projected),Vanuatu,China,15271345.433333332,67.2
2010-2014,Vietnam,Bilateral,857108224.76,35.5
2010-2014,Vietnam,Multilateral,469254497.0,19.4
2010-2014,Vietnam,Private,857759763.4399999,35.6
2010-2014,Vietnam,China,228550648.14000002,9.5
2018-2022,Vietnam,Bilateral,1503856555.1399999,33.3
2018-2022,Vietnam,Multilateral,1304275232.04,28.9
2018-2022,Vietnam,Private,1268520632.24,28.1
2018-2022,Vietnam,China,443415392.98,9.8
2023-2025 (projected),Vietnam,Bilateral,1912044928.8333333,34.6
2023-2025 (projected),Vietnam,Multilateral,2067767605.7,37.4
2023-2025 (projected),Vietnam,Private,1282794424.1000001,23.2
2023-2025 (projected),Vietnam,China,270675335.8,4.9
2010-2014,Yemen,Bilateral,85886783.22,31.5
2010-2014,Yemen,Multilateral,178155989.28,65.3
2010-2014,Yemen,Private,900588.3,0.3
2010-2014,Yemen,China,7770632.92,2.8
2018-2022,Yemen,Multilateral,86562600.0,99.8
2018-2022,Yemen,China,176000.0,0.2
2023-2025 (projected),Yemen,Bilateral,223936950.5666667,44.2
2023-2025 (projected),Yemen,Multilateral,273303324.53333336,53.9
2023-2025 (projected),Yemen,China,9876431.299999999,1.9
2010-2014,Zambia,Bilateral,36284002.739999995,22.5
2010-2014,Zambia,Multilateral,31679606.8,19.6
2010-2014,Zambia,Private,22870500.0,14.2
2010-2014,Zambia,China,70442760.2,43.7
2018-2022,Zambia,Bilateral,47067974.559999995,6.7
2018-2022,Zambia,Multilateral,88150612.74,12.6
2018-2022,Zambia,Private,355764384.9,51.0
2018-2022,Zambia,China,206373907.04,29.6
2023-2025 (projected),Zambia,Bilateral,178313718.6,7.4
2023-2025 (projected),Zambia,Multilateral,347025349.6333333,14.4
2023-2025 (projected),Zambia,Private,867537752.8666667,36.0
2023-2025 (projected),Zambia,China,1016975639.0666666,42.2
2010-2014,Zimbabwe,Bilateral,2652461.2,3.9
2010-2014,Zimbabwe,Multilateral,15333440.15,22.6
2010-2014,Zimbabwe,Private,2885089.6,4.2
2010-2014,Zimbabwe,China,47058878.88,69.3
2018-2022,Zimbabwe,Bilateral,3617774.66,5.3
2018-2022,Zimbabwe,Multilateral,20812304.259999998,30.3
2018-2022,Zimbabwe,Private,4666400.0,6.8
2018-2022,Zimbabwe,China,39523595.440000005,57.6
2023-2025 (projected),Zimbabwe,Bilateral,27947435.733333334,16.1
2023-2025 (projected),Zimbabwe,Multilateral,30787376.099999998,17.8
2023-2025 (projected),Zimbabwe,Private,184500.0,0.1
2023-2025 (projected),Zimbabwe,China,114371753.0,66.0
